foundation,category,dept_display_name,catalog_number,course_title
Foundations of Society and Culture,Historical Analysis,International and Area Studies,31,Introduction to Southeast Asia
Foundations of Society and Culture,Social Analysis,International and Area Studies,31,Introduction to Southeast Asia
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Iranian,35,Archaeology of Ancient Iranian Empires
Foundations of Society and Culture,Historical Analysis,Iranian,35,Archaeology of Ancient Iranian Empires
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Iranian,55,Gender and Sexuality in Arts and Literatures of Iran and Middle East
Foundations of Society and Culture,Social Analysis,Iranian,55,Gender and Sexuality in Arts and Literatures of Iran and Middle East
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Islamic Studies,M20,Introduction to Islam
Foundations of Society and Culture,Historical Analysis,Islamic Studies,M20,Introduction to Islam
Foundations of Arts and Humanities,Literary and Cultural Analysis,Islamic Studies,M27A,Global Islam
Foundations of Society and Culture,Historical Analysis,Islamic Studies,M27A,Global Islam
Foundations of Society and Culture,Social Analysis,Islamic Studies,M27A,Global Islam
Foundations of Arts and Humanities,Literary and Cultural Analysis,Islamic Studies,M27B,Global Islam
Foundations of Society and Culture,Historical Analysis,Islamic Studies,M27B,Global Islam
Foundations of Society and Culture,Social Analysis,Islamic Studies,M27B,Global Islam
Foundations of Arts and Humanities,Literary and Cultural Analysis,Islamic Studies,M27CW,Global Islam: Special Topics
Foundations of Society and Culture,Historical Analysis,Islamic Studies,M27CW,Global Islam: Special Topics
Foundations of Society and Culture,Social Analysis,Islamic Studies,M27CW,Global Islam: Special Topics
Foundations of Arts and Humanities,Literary and Cultural Analysis,Islamic Studies,CM115,Islam and Other Religions
Foundations of Society and Culture,Social Analysis,Islamic Studies,CM115,Islam and Other Religions
Foundations of Arts and Humanities,Literary and Cultural Analysis,Italian,42A,Italy through Ages in English: Saints and Sinners in Early Modern Italy
Foundations of Society and Culture,Historical Analysis,Italian,42A,Italy through Ages in English: Saints and Sinners in Early Modern Italy
Foundations of Arts and Humanities,Literary and Cultural Analysis,Italian,42B,Italy through Ages in English: Modern and Contemporary Italy
Foundations of Society and Culture,Historical Analysis,Italian,42B,Italy through Ages in English: Modern and Contemporary Italy
Foundations of Arts and Humanities,Literary and Cultural Analysis,Italian,42C,Italy Through the Ages in English: Food and Literature in Italy
Foundations of Arts and Humanities,Literary and Cultural Analysis,Italian,46,Italian Cinema and Culture in English
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Italian,46,Italian Cinema and Culture in English
Foundations of Society and Culture,Social Analysis,Italian,46,Italian Cinema and Culture in English
Foundations of Arts and Humanities,Literary and Cultural Analysis,Italian,50A,Masterpieces of Italian Literature in English: Middle Ages to Baroque
Foundations of Arts and Humanities,Literary and Cultural Analysis,Italian,50B,Masterpieces of Italian Literature in English: Enlightenment to Postmodernity
Foundations of Arts and Humanities,Literary and Cultural Analysis,Japanese,50,Japanese Civilization
Foundations of Arts and Humanities,Literary and Cultural Analysis,Japanese,70,Images of Japan: Literature and Film
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Japanese,75,Anime
Foundations of Society and Culture,Social Analysis,Japanese,75,Anime
Foundations of Arts and Humanities,Literary and Cultural Analysis,Japanese,80,How Does It Move? Action and Moving Image in Modern Japan
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Japanese,80,How Does It Move? Action and Moving Image in Modern Japan
Foundations of Arts and Humanities,Literary and Cultural Analysis,Jewish Studies,M10,Introduction to Judaism
Foundations of Arts and Humanities,Literary and Cultural Analysis,Jewish Studies,M67,Popular Jewish and Israeli Music
Foundations of Arts and Humanities,Literary and Cultural Analysis,Jewish Studies,M82,Music and Holocaust: Individual Experience
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Jewish Studies,M82,Music and Holocaust: Individual Experience
Foundations of Arts and Humanities,Literary and Cultural Analysis,Jewish Studies,M113,Contemporary Israeli Short Stories/Novellas and Films in English
Foundations of Arts and Humanities,Literary and Cultural Analysis,Jewish Studies,175,Modern Israeli Literature Made into Films
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Korean,40W,Korean Wave: Globalization of South Korean Popular Culture
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Korean,M60,Introduction to Korean Religions
Foundations of Society and Culture,Historical Analysis,Korean,M60,Introduction to Korean Religions
Foundations of Arts and Humanities,Literary and Cultural Analysis,Korean,75,Introduction to Korean Literature and Culture
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Korean,80,Introduction to Korean Cinema
Foundations of Society and Culture,Social Analysis,Korean,80,Introduction to Korean Cinema
Foundations of Arts and Humanities,Literary and Cultural Analysis,Labor Studies,M1A,"Work, Labor, and Social Justice in U.S."
Foundations of Society and Culture,Historical Analysis,Labor Studies,M1A,"Work, Labor, and Social Justice in U.S."
Foundations of Society and Culture,Social Analysis,Labor Studies,M1A,"Work, Labor, and Social Justice in U.S."
Foundations of Arts and Humanities,Literary and Cultural Analysis,Labor Studies,M1B,"Work, Labor, and Social Justice in U.S."
Foundations of Society and Culture,Historical Analysis,Labor Studies,M1B,"Work, Labor, and Social Justice in U.S."
Foundations of Society and Culture,Social Analysis,Labor Studies,M1B,"Work, Labor, and Social Justice in U.S."
Foundations of Arts and Humanities,Literary and Cultural Analysis,Labor Studies,M1CW,"Work, Labor, and Social Justice in U.S.: Special Topics"
Foundations of Society and Culture,Historical Analysis,Labor Studies,M1CW,"Work, Labor, and Social Justice in U.S.: Special Topics"
Foundations of Society and Culture,Social Analysis,Labor Studies,M1CW,"Work, Labor, and Social Justice in U.S.: Special Topics"
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",M114,"Introduction to Lesbian, Gay, Bisexual, Transgender, and Queer Studies"
Foundations of Society and Culture,Social Analysis,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",M114,"Introduction to Lesbian, Gay, Bisexual, Transgender, and Queer Studies"
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",M137,"Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music"
