foundation,category,dept_display_name,catalog_number,course_title
Foundations of Society and Culture,Social Analysis,Society and Genetics,M71CW,Biotechnology and Society: Special Topics
Foundations of Arts and Humanities,Literary and Cultural Analysis,South Asian,M60,Religion in Classical India: Introduction
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,South Asian,M60,Religion in Classical India: Introduction
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Southeast Asian,M20,Visible Language: Study of Writing
Foundations of Arts and Humanities,Literary and Cultural Analysis,Southeast Asian,70,Modern Southeast Asian Literature
Foundations of Society and Culture,Historical Analysis,Southeast Asian,70,Modern Southeast Asian Literature
Foundations of Society and Culture,Social Analysis,Southeast Asian,70,Modern Southeast Asian Literature
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Spanish,M35,"Spanish, Portuguese, and Nature of Language"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Spanish,42,Iberian Cultures
Foundations of Arts and Humanities,Literary and Cultural Analysis,Theater,10,Introduction to Theater
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,10,Introduction to Theater
Foundations of Arts and Humanities,Visual and Performance Arts Analysis and Practice,Theater,102B,"K-Pop: Race, Gender, and Sexuality in Globalizing Asian Media"
