course_id,subject_area,course_title,avg_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,dfw_rate,total_letter_grades,total_all_grades,total_dfw,total_A,total_B,total_C,total_D,total_F
BIOSTAT 285,BIOSTAT,Advanced Topics: Recent Developments,3.921,97.87,2.13,0.0,0.0,0.0,0.0,47,47,0,46,1,0,0,0
BIOSTAT 401,BIOSTAT,Data Science Capstone,3.904,88.24,11.76,0.0,0.0,0.0,0.0,68,68,0,60,8,0,0,0
BIOSTAT 402A,BIOSTAT,Principles of Biostatistical Consulting,4.0,100.0,0.0,0.0,0.0,0.0,0.0,41,41,0,41,0,0,0,0
BIOSTAT 406,BIOSTAT,Applied Multivariate Biostatistics  ,3.925,94.4,5.6,0.0,0.0,0.0,0.0,125,132,0,118,7,0,0,0
BIOSTAT M215,BIOSTAT,Survival Analysis,3.882,92.98,7.02,0.0,0.0,0.0,0.0,57,57,0,53,4,0,0,0
BIOSTAT M234,BIOSTAT,Applied Bayesian Inference,3.962,97.32,2.68,0.0,0.0,0.0,0.0,112,118,0,109,3,0,0,0
BIOSTAT M235,BIOSTAT,Causal Inference,3.946,97.56,2.44,0.0,0.0,0.0,0.0,41,41,0,40,1,0,0,0
BIOSTAT M236,BIOSTAT,Longitudinal Data,3.793,84.3,13.22,2.48,0.0,0.0,0.0,121,132,0,102,16,3,0,0
BMD RES 10H,BMD RES,"Research Training in Genes, Genetics, and Genomics",3.933,96.1,3.03,0.87,0.0,0.0,0.0,231,231,0,222,7,2,0,0
BMD RES 193H,BMD RES,Journal Club Seminars: Current Topics in Biomedical Research,3.999,100.0,0.0,0.0,0.0,0.0,0.0,543,547,0,543,0,0,0,0
BMD RES 194H,BMD RES,Research Group Seminars: Data Presentation in Biomedical Research,3.999,100.0,0.0,0.0,0.0,0.0,0.0,412,414,0,412,0,0,0,0
BMD RES 1A,BMD RES,Science in Your Time,3.802,87.1,8.6,3.73,0.0,0.57,0.56,884,896,5,770,76,33,0,5
BMD RES 5HA,BMD RES,Biomedical Research: Concepts and Strategies,3.867,90.6,8.54,0.59,0.07,0.2,0.33,1522,1530,5,1379,130,9,1,3
BMD RES 5HB,BMD RES,Biomedical Research: Essential Skills and Concepts,3.921,95.59,4.41,0.0,0.0,0.0,0.0,590,603,0,564,26,0,0,0
BMD RES M6H,BMD RES,Experiments in Cell and Tissue Culture,3.805,87.18,7.69,5.13,0.0,0.0,0.0,39,39,0,34,3,2,0,0
C&EE 102,C&EE,Dynamics of Particles and Bodies,3.101,30.95,48.21,20.83,0.0,0.0,0.0,168,169,0,52,81,35,0,0
C&EE 103,C&EE,Applied Numerical Computing and Modeling in Civil and Environmental Engineering,3.418,56.77,33.33,7.31,1.94,0.65,2.57,465,467,12,264,155,34,9,3
C&EE 107,C&EE,Environmental Fluid Mechanics,3.882,92.11,7.89,0.0,0.0,0.0,0.0,38,38,0,35,3,0,0,0
C&EE 108,C&EE,Introduction to Mechanics of Deformable Solids,3.138,50.57,27.79,13.44,5.01,3.19,8.54,439,445,38,222,122,59,22,14
C&EE 108L,C&EE,Experimental Structural Mechanics,3.819,80.9,19.1,0.0,0.0,0.0,0.0,89,89,0,72,17,0,0,0
C&EE 110,C&EE,Introduction to Probability and Statistics for Engineers,3.482,65.09,22.56,8.91,2.87,0.57,3.43,696,700,24,453,157,62,20,4
C&EE 120,C&EE,Principles of Soil Mechanics,3.357,56.58,30.79,8.16,3.68,0.79,4.47,380,380,17,215,117,31,14,3
C&EE 121,C&EE,Design of Foundations and Earth Structures  ,2.964,32.0,41.33,21.33,5.33,0.0,5.19,75,77,4,24,31,16,4,0
C&EE 125,C&EE,Fundamentals of Earthquake Engineering,3.462,53.66,41.46,4.88,0.0,0.0,0.0,82,82,0,44,34,4,0,0
C&EE 129L,C&EE,Engineering Geomatics,3.499,60.42,33.33,5.21,0.0,1.04,1.04,96,96,1,58,32,5,0,1
C&EE 130,C&EE,Elementary Structural Mechanics,3.429,36.76,63.24,0.0,0.0,0.0,0.0,68,68,0,25,43,0,0,0
C&EE 135A,C&EE,Elementary Structural Analysis,3.57,62.04,35.04,2.55,0.36,0.0,0.36,274,274,1,170,96,7,1,0
C&EE 135B,C&EE,Intermediate Structural Analysis,3.648,73.91,21.74,4.35,0.0,0.0,0.0,138,139,0,102,30,6,0,0
C&EE 135L,C&EE,Structural Design and Testing Laboratory,3.828,86.0,14.0,0.0,0.0,0.0,0.0,150,150,0,129,21,0,0,0
C&EE 141,C&EE,Steel Structures,3.316,48.1,39.24,12.66,0.0,0.0,0.0,79,81,0,38,31,10,0,0
C&EE 142,C&EE,Design of Reinforced Concrete Structures,3.499,64.76,28.1,4.29,0.95,1.9,2.86,210,210,6,136,59,9,2,4
C&EE 143,C&EE,Design of Prestressed Concrete Structures,3.297,43.59,51.28,2.56,2.56,0.0,2.56,39,39,1,17,20,1,1,0
C&EE 147,C&EE,Design and Construction of Tall Buildings,3.206,30.16,66.67,0.0,0.0,3.17,3.17,63,63,2,19,42,0,0,2
C&EE 148,C&EE,Wood and Timber Design,3.034,39.02,39.02,12.2,7.32,2.44,9.76,41,41,4,16,16,5,3,1
C&EE 150,C&EE,Introduction to Hydrology,3.153,37.74,45.28,12.94,3.77,0.27,4.02,371,373,15,140,168,48,14,1
C&EE 151,C&EE,Introduction to Water Resources Engineering,3.507,57.96,36.31,5.73,0.0,0.0,0.0,157,159,0,91,57,9,0,0
C&EE 153,C&EE,Introduction to Environmental Engineering Science,3.746,80.16,16.77,2.9,0.0,0.16,0.16,620,620,1,497,104,18,0,1
C&EE 154,C&EE,Chemical Fate and Transport in Aquatic Environments,3.886,89.62,10.38,0.0,0.0,0.0,0.0,212,219,0,190,22,0,0,0
C&EE 155,C&EE,Unit Operations and Processes for Water and Wastewater Treatment,3.2,38.32,50.47,10.28,0.93,0.0,0.93,107,107,1,41,54,11,1,0
C&EE 156A,C&EE,Environmental Chemistry Laboratory,3.92,93.65,6.35,0.0,0.0,0.0,0.0,126,126,0,118,8,0,0,0
C&EE 156B,C&EE,Environmental Engineering Unit Operations and Processes Laboratory,3.917,95.38,4.62,0.0,0.0,0.0,0.0,65,65,0,62,3,0,0,0
C&EE 157L,C&EE,Hydrologic Analysis,3.916,92.92,7.08,0.0,0.0,0.0,0.0,113,113,0,105,8,0,0,0
C&EE 164,C&EE,Sustainable Waste Management,4.0,100.0,0.0,0.0,0.0,0.0,0.0,64,64,0,64,0,0,0,0
C&EE 170,C&EE,Introduction to Construction Management,2.946,28.26,47.83,19.57,2.17,2.17,4.35,46,46,2,13,22,9,1,1
C&EE 180,C&EE,Introduction to Transportation Engineering,3.819,87.8,9.27,2.44,0.49,0.0,0.49,205,205,1,180,19,5,1,0
C&EE 188,C&EE,Special Courses in Civil and Environmental Engineering,3.93,98.85,1.15,0.0,0.0,0.0,0.0,87,87,0,86,1,0,0,0
C&EE 190,C&EE,Professional Practice,3.702,78.54,19.31,2.15,0.0,0.0,0.0,233,233,0,183,45,5,0,0
C&EE 220,C&EE,Advanced Soil Mechanics,3.369,48.72,41.03,10.26,0.0,0.0,0.0,39,41,0,19,16,4,0,0
C&EE 235A,C&EE,Advanced Structural Analysis,3.88,91.62,8.38,0.0,0.0,0.0,0.0,167,168,0,153,14,0,0,0
C&EE 235B,C&EE,Finite Element Analysis of Structures,3.719,73.08,26.92,0.0,0.0,0.0,0.0,78,81,0,57,21,0,0,0
C&EE 239,C&EE,Elementary Structural Dynamics,3.358,41.67,58.33,0.0,0.0,0.0,0.0,36,36,0,15,21,0,0,0
C&EE 241,C&EE,Advanced Steel Structures,3.282,29.32,68.42,2.26,0.0,0.0,0.0,133,133,0,39,91,3,0,0
C&EE 243A,C&EE,Behavior and Design of Reinforced Concrete Structural Elements,3.602,62.6,37.4,0.0,0.0,0.0,0.0,123,125,0,77,46,0,0,0
C&EE 243B,C&EE,Response and Design of Reinforced Concrete Structural Systems,3.548,57.58,42.42,0.0,0.0,0.0,0.0,33,33,0,19,14,0,0,0
C&EE 244,C&EE,Structural Reliability,3.87,93.88,5.1,1.02,0.0,0.0,0.0,98,99,0,92,5,1,0,0
C&EE 245,C&EE,Earthquake Ground Motion Characterization,3.446,50.0,48.51,0.0,0.0,1.49,1.48,134,135,2,67,65,0,0,2
C&EE 246,C&EE,Structural Response to Ground Motions,3.518,60.66,37.7,0.0,0.0,1.64,1.61,61,62,1,37,23,0,0,1
C&EE 247,C&EE,Earthquake Hazard Mitigation,3.58,57.14,41.76,1.1,0.0,0.0,0.0,91,91,0,52,38,1,0,0
C&EE 250A,C&EE,Surface Water Hydrology,3.774,82.95,14.77,1.14,0.0,1.14,1.11,88,90,1,73,13,1,0,1
C&EE 250B,C&EE,Groundwater Hydrology,3.788,80.95,19.05,0.0,0.0,0.0,0.0,42,43,0,34,8,0,0,0
C&EE 254A,C&EE,Environmental Aquatic Inorganic Chemistry,3.88,87.96,12.04,0.0,0.0,0.0,0.0,108,121,0,95,13,0,0,0
C&EE 255A,C&EE,Physical and Chemical Processes for Water and Wastewater Treatment,3.224,41.33,41.33,17.33,0.0,0.0,0.0,75,76,0,31,31,13,0,0
C&EE 255B,C&EE,Biological Processes for Water and Wastewater Treatment,3.56,51.92,48.08,0.0,0.0,0.0,0.0,52,53,0,27,25,0,0,0
C&EE 258A,C&EE,Membrane Separations in Aquatic Systems,3.978,97.83,2.17,0.0,0.0,0.0,0.0,46,46,0,45,1,0,0,0
C&EE 261A,C&EE,Advanced Water Treatment Processes,3.993,100.0,0.0,0.0,0.0,0.0,0.0,42,42,0,42,0,0,0,0
C&EE 266,C&EE,Environmental Biotechnology,3.78,86.49,13.51,0.0,0.0,0.0,0.0,74,75,0,64,10,0,0,0
C&EE 298,C&EE,Seminar: Engineering,3.903,93.98,5.42,0.6,0.0,0.0,0.0,166,174,0,156,9,1,0,0
C&EE 91,C&EE,Statics,3.174,43.96,35.16,17.58,2.2,1.1,3.3,91,91,3,40,32,16,2,1
C&EE C104,C&EE,"Structure, Processing, and Properties of Civil Engineering Materials",3.281,50.0,35.0,11.0,2.0,2.0,4.0,100,100,4,50,35,11,2,2
C&EE C111,C&EE,Machine Learning and Artificial Intelligence for Civil Engineering,3.558,66.67,24.24,9.09,0.0,0.0,0.0,33,33,0,22,8,3,0,0
C&EE C158,C&EE,Coastal Engineering,3.322,53.33,31.11,13.33,2.22,0.0,2.17,45,46,1,24,14,6,1,0
C&EE C159,C&EE,Green Infrastructure,3.869,91.63,8.37,0.0,0.0,0.0,0.0,215,216,0,197,18,0,0,0
C&EE C164,C&EE,Sustainable Waste Management,3.894,93.08,6.92,0.0,0.0,0.0,0.0,130,130,0,121,9,0,0,0
C&EE C181,C&EE,Traffic Engineering Systems: Operations and Control,3.877,90.0,10.0,0.0,0.0,0.0,0.0,90,91,0,81,9,0,0,0
C&EE C211,C&EE,Machine Learning and Artificial Intelligence for Civil Engineering,3.857,89.13,8.7,2.17,0.0,0.0,0.0,46,46,0,41,4,1,0,0
C&EE C239,C&EE,Elementary Structural Dynamics,3.45,47.93,51.24,0.0,0.0,0.83,0.83,121,121,1,58,62,0,0,1
C&EE C259,C&EE,Green Infrastructure,3.847,90.79,7.89,1.32,0.0,0.0,0.0,76,76,0,69,6,1,0,0
C&EE C264,C&EE,Sustainable Waste Management,3.907,96.67,3.33,0.0,0.0,0.0,0.0,30,30,0,29,1,0,0,0
C&EE C281,C&EE,Traffic Engineering Systems: Operations and Control,3.925,93.75,6.25,0.0,0.0,0.0,0.0,48,48,0,45,3,0,0,0
C&EE C285,C&EE,Transportation Systems Analysis,3.82,82.0,18.0,0.0,0.0,0.0,0.0,50,51,0,41,9,0,0,0
C&EE M165,C&EE,Environmental Nanotechnology: Implications and Applications,3.916,94.76,5.24,0.0,0.0,0.0,0.0,248,248,0,235,13,0,0,0
C&EE M166,C&EE,Environmental Microbiology,3.722,74.26,25.74,0.0,0.0,0.0,0.0,101,102,0,75,26,0,0,0
C&EE M20,C&EE,Introduction to Computer Programming with MATLAB,3.796,86.83,9.35,2.48,0.19,1.15,1.33,524,528,7,455,49,13,1,6
C&EE ST 130,C&EE ST,Balkan Cultures in Film and Literature,3.913,94.87,4.27,0.0,0.0,0.85,0.83,117,120,1,111,5,0,0,1
C&EE ST 31,C&EE ST,"Introduction to Slavic, East European, and Central Asian Cultures through Film",3.836,88.27,8.64,2.47,0.0,0.62,0.58,162,171,1,143,14,4,0,1
C&EE ST 91,C&EE ST,Culture and Society in Central and Eastern Europe,3.947,95.35,4.65,0.0,0.0,0.0,0.0,43,45,0,41,2,0,0,0
C&S BIO 10,C&S BIO,Preparation for Research in Computational Biology,3.914,95.16,3.76,0.54,0.0,0.54,0.52,186,192,1,177,7,1,0,1
C&S BIO 185,C&S BIO,Thesis Research Opportunities in Computational and Systems Biology,3.924,97.07,2.13,0.27,0.27,0.27,0.53,375,378,2,364,8,1,1,1
C&S BIO M130,C&S BIO,Fundamentals of Digital Imaging and Image Processing,3.956,96.49,2.63,0.88,0.0,0.0,0.0,114,114,0,110,3,1,0,0
C&S BIO M150,C&S BIO,Biological Modeling: Mathematical and Computational Approaches,3.621,73.95,20.17,4.2,0.84,0.84,1.68,357,357,6,264,72,15,3,3
C&S BIO M178,C&S BIO,Quantitative Regulatory Biology and Signal Transduction,3.91,93.67,6.33,0.0,0.0,0.0,0.0,158,158,0,148,10,0,0,0
C&S BIO M187,C&S BIO,Research Communication in Computational and Systems Biology,3.843,91.01,6.91,0.92,0.0,1.15,1.15,434,434,5,395,30,4,0,5
CCAS 100XP,CCAS,Barrio Organization and Service Learning,3.854,94.31,2.2,1.1,0.37,2.02,2.38,545,546,13,514,12,6,2,11
CCAS 101,CCAS,Theoretical Concepts in Chicana/Chicano Studies,3.822,90.45,6.07,1.35,0.67,1.46,2.19,890,912,20,805,54,12,6,13
CCAS 104,CCAS,Comedy and Culture: Your Humorous Life,3.64,77.14,17.14,2.86,0.0,2.86,2.78,35,36,1,27,6,1,0,1
CCAS 104A,CCAS,Art of Performance,3.803,89.19,5.41,2.7,2.7,0.0,2.63,37,38,1,33,2,1,1,0
CCAS 105F,CCAS,"Gender, Fiction, and Social Change",3.921,92.86,7.14,0.0,0.0,0.0,1.09,84,92,1,78,6,0,0,0
CCAS 109,CCAS,Chicana/Chicano Folklore,3.869,92.03,6.52,1.45,0.0,0.0,0.0,138,139,0,127,9,2,0,0
CCAS 10A,CCAS,Introduction to Chicana/Chicano Studies: History and Culture,3.872,92.13,5.58,1.44,0.27,0.58,0.95,1881,1888,18,1733,105,27,5,11
CCAS 10B,CCAS,Introduction to Chicana/Chicano Studies: Social Structure and Contemporary Conditions,3.779,86.6,9.59,1.88,0.57,1.36,1.91,1918,1937,37,1661,184,36,11,26
CCAS 111,CCAS,Chicana/Chicano and Latina/Latino Intellectual Traditions,3.944,97.44,2.56,0.0,0.0,0.0,0.0,39,43,0,38,1,0,0,0
CCAS 113,CCAS,Day of Dead Ritual,3.945,96.38,2.77,0.43,0.21,0.21,0.64,469,472,3,452,13,2,1,1
CCAS 117,CCAS,Chicana/Chicano Images in Mexican Film and Literature,3.853,89.36,9.57,0.0,1.06,0.0,1.04,94,96,1,84,9,0,1,0
CCAS 120,CCAS,Immigration and Chicano Community,3.843,89.46,9.51,0.77,0.0,0.26,0.51,389,391,2,348,37,3,0,1
CCAS 123,CCAS,Applied Research Methods in Latino Communities,3.795,84.42,12.99,2.6,0.0,0.0,0.0,77,77,0,65,10,2,0,0
CCAS 129,CCAS,Community-Engaged Research Methods,4.0,100.0,0.0,0.0,0.0,0.0,0.0,61,61,0,61,0,0,0,0
CCAS 131,CCAS,Barrio Popular Culture,3.702,74.58,23.73,0.0,1.69,0.0,1.69,59,59,1,44,14,0,1,0
CCAS 138A,CCAS,"Space, Place, and Race",3.748,80.81,16.16,2.02,0.0,1.01,1.92,99,104,2,80,16,2,0,1
CCAS 142,CCAS,Mesoamerican Literature,3.513,75.79,16.84,2.11,0.0,5.26,6.25,95,96,6,72,16,2,0,5
CCAS 143,CCAS,Mestizaje: History of Diverse Racial/Cultural Roots of Mexico,3.631,75.52,18.18,2.1,1.4,2.8,4.14,143,145,6,108,26,3,2,4
CCAS 143B,CCAS,Afro-Latina/o Experience(s) in U.S.,3.61,78.15,17.88,0.66,0.0,3.31,3.16,151,158,5,118,27,1,0,5
CCAS 145B,CCAS,Literature of Chicana/Chicano Movement,3.419,63.27,17.35,16.33,2.04,1.02,3.0,98,100,3,62,17,16,2,1
CCAS 146,CCAS,Chicano Narrative,3.18,44.9,31.63,21.43,0.0,2.04,3.74,98,107,4,44,31,21,0,2
CCAS 149,CCAS,Gendered Politics and Chicana/Latina Political Participation,3.883,92.28,7.02,0.7,0.0,0.0,0.0,285,285,0,263,20,2,0,0
CCAS 150,CCAS,Affirmative Action: History and Politics,3.416,63.16,28.95,2.63,0.0,5.26,5.26,38,38,2,24,11,1,0,2
CCAS 152,CCAS,Disposable People: U.S. Deportation and Repatriation Campaigns,3.915,95.65,2.17,2.17,0.0,0.0,0.0,92,94,0,88,2,2,0,0
CCAS 153A,CCAS,Central Americans in U.S.,3.654,76.51,16.87,5.42,0.6,0.6,1.18,166,170,2,127,28,9,1,1
CCAS 153B,CCAS,Central American Racial Constructions,3.802,93.22,0.0,1.69,3.39,1.69,5.0,59,60,3,55,0,1,2,1
CCAS 153C,CCAS,Migrating U.S./Central American Cultural Production,3.895,92.0,6.0,1.33,0.67,0.0,0.64,150,157,1,138,9,2,1,0
CCAS 153D,CCAS,U.S. Central American Narratives,3.824,92.5,4.17,0.83,0.0,2.5,2.38,120,126,3,111,5,1,0,3
CCAS 157,CCAS,Chicano Movement and Its Political Legacies,3.549,73.56,19.54,2.3,2.3,2.3,4.49,87,89,4,64,17,2,2,2
CCAS 165,CCAS,Latinas and Latinos in Public Education,3.426,68.09,14.89,13.3,2.66,1.06,3.61,188,194,7,128,28,25,5,2
CCAS 166,CCAS,Paulo Freire for Chicana/Chicano Classroom,3.868,96.05,1.97,0.0,0.0,1.97,1.96,152,153,3,146,3,0,0,3
CCAS 169,CCAS,Representations of Indigenous Peoples in Americas,3.427,60.5,31.09,4.2,0.0,4.2,4.17,119,120,5,72,37,5,0,5
CCAS 171,CCAS,Humor as Social Control,3.518,68.35,21.52,7.59,1.27,1.27,2.41,79,83,2,54,17,6,1,1
CCAS 172,CCAS,Chicana and Chicano Ethnography,3.837,89.38,7.69,1.83,0.0,1.1,1.09,273,276,3,244,21,5,0,3
CCAS 178,CCAS,Latinas/Latinos and Law: Comparative and Historical Perspectives,3.659,77.99,16.35,3.14,1.26,1.26,2.5,159,160,4,124,26,5,2,2
CCAS 181,CCAS,"History of Chicana/Chicano Los Angeles, 20th Century",3.405,65.85,21.95,4.88,7.32,0.0,7.32,41,41,3,27,9,2,3,0
CCAS 187C,CCAS,Aztec Art,3.392,62.72,27.22,4.14,0.0,5.92,6.4,169,172,11,106,46,7,0,10
CCAS 188,CCAS,Special Courses in Chicana/o and Central American Studies,3.816,88.4,8.73,1.75,0.41,0.72,1.21,974,995,12,861,85,17,4,7
CCAS 191,CCAS,Variable Topics Research Seminars: Chicana/o and Central American Studies,3.523,68.44,22.81,5.76,0.85,2.13,3.11,469,482,15,321,107,27,4,10
CCAS 20,CCAS,Central American Studies: Histories and Cultures,3.698,79.13,16.26,2.17,0.81,1.63,2.39,369,377,9,292,60,8,3,6
CCAS 202,CCAS,Qualitative Methods in Study of Chicanas/Chicanos and Latinas/Latinos,3.825,84.38,15.62,0.0,0.0,0.0,0.0,32,37,0,27,5,0,0,0
CCAS 291,CCAS,Variable Topics Research Seminars: Chicana/o and Central American Studies,3.931,95.35,3.49,1.16,0.0,0.0,0.0,86,102,0,82,3,1,0,0
CCAS 89,CCAS,Honors Seminars,3.885,90.98,9.02,0.0,0.0,0.0,0.0,122,122,0,111,11,0,0,0
CCAS C107,CCAS,Latina/Latino Families in U.S.,3.605,73.77,19.67,4.92,0.0,1.64,1.61,61,62,1,45,12,3,0,1
CCAS C141,CCAS,Chicana and Latin American Women's Narrative,3.781,86.08,8.86,3.8,0.0,1.27,1.27,79,79,1,68,7,3,0,1
CCAS CM106,CCAS,Health in Chicano/Latino Population,3.78,86.77,8.95,2.53,0.78,0.97,1.75,514,514,9,446,46,13,4,5
CCAS CM110,CCAS,Chicana Feminism,3.549,74.42,23.26,0.0,0.0,2.33,2.27,43,44,1,32,10,0,0,1
CCAS M102,CCAS,Mexican Americans and Schools,3.788,87.88,10.61,0.0,0.0,1.52,1.49,66,67,1,58,7,0,0,1
CCAS M103D,CCAS,Contemporary Chicano Theater: Beginning of Chicano Theater Movement,3.917,93.62,6.38,0.0,0.0,0.0,0.0,47,47,0,44,3,0,0,0
CCAS M103G,CCAS,Contemporary Chicano Theater: Chicano Theater since 1980,3.785,85.29,8.82,5.88,0.0,0.0,0.0,34,34,0,29,3,2,0,0
CCAS M105A,CCAS,"Early Chicana/Chicano Literature, 1400 to 1920",3.414,75.68,13.51,2.7,0.0,8.11,7.69,37,39,3,28,5,1,0,3
CCAS M105C,CCAS,"Chicana/Chicano Literature since el Movimiento, 1970s to Present",3.626,78.82,15.29,3.53,0.0,2.35,2.33,85,86,2,67,13,3,0,2
CCAS M114,CCAS,Chicanos in Film/Video,3.817,89.47,7.89,0.44,0.44,1.75,2.99,228,234,7,204,18,1,1,4
CCAS M119,CCAS,Chicano/Latino Community Formation: Critical Perspectives and Oral Histories,3.691,84.62,6.15,4.62,1.54,3.08,4.62,65,65,3,55,4,3,1,2
CCAS M125,CCAS,U.S./Mexico Relations,3.867,96.25,1.25,1.25,0.0,1.25,1.2,80,83,1,77,1,1,0,1
CCAS M126,CCAS,"Politics of Crisis: Migration, Identity, and Religion",3.77,86.96,4.35,8.7,0.0,0.0,0.0,69,69,0,60,3,6,0,0
CCAS M127,CCAS,"Farmworker Movements, Social Justice, and United Farm Workers Legacy",3.771,89.16,7.23,1.2,0.0,2.41,2.41,83,83,2,74,6,1,0,2
CCAS M128,CCAS,"Race, Gender, and U.S. Labor",3.877,91.6,6.11,2.29,0.0,0.0,0.0,262,262,0,240,16,6,0,0
CCAS M129,CCAS,Community-Engaged Research Methods,3.831,84.62,15.38,0.0,0.0,0.0,0.0,39,39,0,33,6,0,0,0
CCAS M132,CCAS,Border Consciousness,3.713,78.85,19.23,0.0,0.0,1.92,1.92,52,52,1,41,10,0,0,1
CCAS M136,CCAS,Censored! Art on Trial,3.676,81.86,10.7,4.19,1.4,1.86,3.17,215,221,7,176,23,9,3,4
CCAS M143B,CCAS,Afro-Latina/o Experience(s) in U.S.,3.511,80.0,10.91,0.0,0.0,9.09,9.09,55,55,5,44,6,0,0,5
CCAS M144,CCAS,Women's Movement in Latin America,3.584,72.0,20.0,6.0,2.0,0.0,3.92,50,51,2,36,10,3,1,0
CCAS M148,CCAS,"Politics of Struggle: Race, Solidarity, and Resistance",3.58,75.0,18.18,2.27,2.27,2.27,4.55,44,44,2,33,8,1,1,1
CCAS M154,CCAS,Contemporary Issues among Chicanas,3.592,79.49,12.82,2.56,0.0,5.13,5.13,39,39,2,31,5,1,0,2
CCAS M155A,CCAS,Latinos in U.S.,3.792,83.78,10.81,5.41,0.0,0.0,0.0,37,37,0,31,4,2,0,0
CCAS M155B,CCAS,U.S. Latino Politics,3.304,47.45,39.64,9.91,1.5,1.5,3.42,333,351,12,158,132,33,5,5
CCAS M159B,CCAS,History of Chicano Peoples,3.917,94.29,5.71,0.0,0.0,0.0,0.0,35,35,0,33,2,0,0,0
CCAS M173,CCAS,Nonviolence and Social Movements,3.746,83.58,12.69,2.24,0.0,1.49,1.41,134,142,2,112,17,3,0,2
CCAS M175,CCAS,Chicana Art and Artists,3.671,81.14,13.16,2.63,0.88,2.19,3.07,228,228,7,185,30,6,2,5
CCAS M18,CCAS,Leadership and Student-Initiated Retention,3.953,96.83,2.38,0.79,0.0,0.0,0.0,126,126,0,122,3,1,0,0
CCAS M185,CCAS,Whose Monument Where: Course on Public Art,3.648,79.69,12.5,3.91,3.12,0.78,3.85,128,130,5,102,16,5,4,1
CESC 100XP,CESC,Perspectives on Civic Engagement for Social Justice,3.922,95.65,3.26,0.0,1.09,0.0,1.09,92,92,1,88,3,0,1,0
CESC 130,CESC,Intercultural Communication in Global Workplace,3.836,88.98,9.32,0.85,0.0,0.85,0.83,118,120,1,105,11,1,0,1
CESC 152,CESC,Exploring Social Change: Critical Analysis through Lens of Community Organizing and Social Movements,3.867,91.67,6.25,0.0,0.0,2.08,2.08,48,48,1,44,3,0,0,1
CESC 172XP,CESC,Community-Engaged Research to Address Health Disparities,3.837,91.43,8.57,0.0,0.0,0.0,0.0,35,35,0,32,3,0,0,0
CESC 191AX,CESC,Capstone Research Seminar,3.864,91.49,7.45,0.0,0.0,1.06,1.05,94,95,1,86,7,0,0,1
CESC 191BX,CESC,Capstone Research Seminar: Projects,3.916,95.56,3.33,0.0,0.0,1.11,1.04,90,96,1,86,3,0,0,1
CESC 195CE,CESC,Community and Corporate Internships in Community Engagement and Social Change,3.972,98.59,1.17,0.23,0.0,0.0,0.0,426,454,0,420,5,1,0,0
CESC 50XP,CESC,Engaging Los Angeles,3.78,88.79,7.55,1.3,0.38,1.98,2.34,1311,1327,31,1164,99,17,5,26
CESC 98A,CESC,Leadership and Social Change,3.957,100.0,0.0,0.0,0.0,0.0,0.71,42,283,2,42,0,0,0,0
CESC M190A,CESC,Introduction to Community-Engaged Research,3.978,97.78,2.22,0.0,0.0,0.0,0.0,45,48,0,44,1,0,0,0
CH ENGR 10,CH ENGR,Introduction to Chemical and Biomolecular Engineering,3.909,95.05,3.96,0.5,0.0,0.5,0.5,404,404,2,384,16,2,0,2
CH ENGR 100,CH ENGR,Fundamentals of Chemical and Biomolecular Engineering,3.393,49.69,39.2,9.88,1.23,0.0,1.23,324,324,4,161,127,32,4,0
CH ENGR 101A,CH ENGR,Transport Phenomena I,3.663,72.92,23.26,2.78,1.04,0.0,1.04,288,288,3,210,67,8,3,0
CH ENGR 101B,CH ENGR,Transport Phenomena II: Heat Transfer,3.453,62.19,27.92,8.83,0.35,0.71,1.05,283,286,3,176,79,25,1,2
CH ENGR 101C,CH ENGR,Mass Transfer,3.442,49.33,48.0,1.78,0.44,0.44,0.88,450,454,4,222,216,8,2,2
CH ENGR 102A,CH ENGR,Thermodynamics I,3.865,88.71,10.97,0.32,0.0,0.0,0.0,310,310,0,275,34,1,0,0
CH ENGR 102B,CH ENGR,Thermodynamics II,3.788,84.31,12.75,2.61,0.0,0.33,0.33,306,307,1,258,39,8,0,1
CH ENGR 103,CH ENGR,Separation Processes,2.922,27.88,44.61,22.68,4.09,0.74,4.83,269,269,13,75,120,61,11,2
CH ENGR 104A,CH ENGR,Chemical and Biomolecular Engineering Laboratory I,3.762,80.41,19.08,0.51,0.0,0.0,0.0,393,393,0,316,75,2,0,0
CH ENGR 104B,CH ENGR,Chemical and Biomolecular Engineering Laboratory II,3.791,87.35,9.39,1.63,1.63,0.0,1.63,245,245,4,214,23,4,4,0
CH ENGR 104C,CH ENGR,Semiconductor Processing,3.645,70.97,27.42,1.61,0.0,0.0,0.0,62,64,0,44,17,1,0,0
CH ENGR 104CL,CH ENGR,Semiconductor Processing Laboratory,3.929,97.14,2.86,0.0,0.0,0.0,0.0,35,35,0,34,1,0,0,0
CH ENGR 104D,CH ENGR,Molecular Biotechnology Laboratory: From Gene to Product,3.686,68.57,31.43,0.0,0.0,0.0,0.0,35,35,0,24,11,0,0,0
CH ENGR 106,CH ENGR,Chemical Reaction Engineering,3.344,53.6,33.09,11.15,1.8,0.36,2.16,278,278,6,149,92,31,5,1
CH ENGR 107,CH ENGR,Process Dynamics and Control,3.576,68.81,25.76,5.08,0.0,0.34,0.34,295,295,1,203,76,15,0,1
