course_id,subject_area,course_title,avg_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,dfw_rate,total_letter_grades,total_all_grades,total_dfw,total_A,total_B,total_C,total_D,total_F
ASIA AM M169,ASIA AM,Constructing Race,2.988,54.39,15.79,15.79,1.75,12.28,13.79,57,58,8,31,9,9,1,7
ASIA AM M18,ASIA AM,Leadership and Student-Initiated Retention,4.0,100.0,0.0,0.0,0.0,0.0,0.0,240,240,0,240,0,0,0,0
ASIAN 100,ASIAN,Methods in Asian Linguistics,3.682,80.99,13.38,4.93,0.0,0.7,0.7,142,143,1,115,19,7,0,1
ASIAN 104,ASIAN,Asian Language Pedagogy,3.571,75.82,14.29,6.59,1.1,2.2,4.04,91,99,4,69,13,6,1,2
ASIAN 135,ASIAN,Asian Foodways across Borders,3.533,62.11,36.84,0.0,0.0,1.05,0.98,190,205,2,118,70,0,0,2
ASIAN 184,ASIAN,Women in History: East Asia,3.463,53.66,43.9,0.0,0.0,2.44,3.16,82,95,3,44,36,0,0,2
ASIAN 30,ASIAN,Languages and Cultures of Asia,3.617,74.04,18.99,5.77,0.48,0.72,1.76,416,454,8,308,79,24,2,3
ASIAN 40,ASIAN,Foundations of East Asia: Philosophical and Literary Traditions,3.842,84.21,15.79,0.0,0.0,0.0,0.0,38,39,0,32,6,0,0,0
ASIAN M20,ASIAN,Visible Language: Study of Writing,3.814,84.95,15.05,0.0,0.0,0.0,1.89,93,106,2,79,14,0,0,0
ASIAN M60,ASIAN,Introduction to Buddhism,3.524,67.19,23.44,4.69,4.69,0.0,4.62,128,130,6,86,30,6,6,0
ASIAN M60W,ASIAN,Introduction to Buddhism,3.517,65.75,24.86,4.97,0.55,3.87,4.89,181,184,9,119,45,9,1,7
ASL 1,ASL,Elementary American Sign Language,3.673,81.31,12.62,2.34,0.93,2.8,3.45,214,232,8,174,27,5,2,6
ASL 2,ASL,Elementary American Sign Language,3.788,87.06,8.82,3.53,0.0,0.59,0.55,170,183,1,148,15,6,0,1
ASL 3,ASL,Elementary American Sign Language,3.855,90.48,8.16,0.68,0.0,0.68,0.62,147,160,1,133,12,1,0,1
ASL 4,ASL,Intermediate American Sign Language,3.733,82.81,10.94,3.12,1.56,1.56,3.03,64,66,2,53,7,2,1,1
ASL 5,ASL,Intermediate American Sign Language,3.743,85.71,9.52,2.38,2.38,0.0,2.17,42,46,1,36,4,1,1,0
ASL 6,ASL,Intermediate American Sign Language,3.864,91.67,5.56,2.78,0.0,0.0,0.0,36,37,0,33,2,1,0,0
ASL 8,ASL,Intensive Elementary American Sign Language,3.654,78.7,17.13,1.85,0.93,1.39,2.65,216,226,6,170,37,4,2,3
ASL M115,ASL,Enforcing Normalcy: Deaf and Disability Studies,3.88,91.01,8.99,0.0,0.0,0.0,0.0,89,91,0,81,8,0,0,0
ASL M187,ASL,Special Topics in Disability Studies and Deaf Studies,3.943,96.67,0.0,3.33,0.0,0.0,0.0,30,31,0,29,0,1,0,0
ASTR 115,ASTR,Statistical Mechanics and Its Application to Astrophysics,3.183,43.07,36.5,17.52,2.19,0.73,2.84,137,141,4,59,50,24,3,1
ASTR 117,ASTR,Radiation and Fluids in Astrophysics,3.218,46.56,35.88,12.98,3.82,0.76,5.26,131,133,7,61,47,17,5,1
ASTR 127,ASTR,"Stellar Atmospheres, Interiors, and Evolution",3.151,46.43,30.71,16.43,5.0,1.43,6.38,140,141,9,65,43,23,7,2
ASTR 140,ASTR,Stellar Systems and Cosmology,3.048,42.35,32.94,18.82,3.53,2.35,5.81,85,86,5,36,28,16,3,2
ASTR 141,ASTR,Cosmology,3.508,60.27,32.88,5.48,1.37,0.0,1.32,73,76,1,44,24,4,1,0
ASTR 180,ASTR,Astrophysics Laboratory,3.727,79.39,16.03,4.58,0.0,0.0,0.0,131,131,0,104,21,6,0,0
ASTR 270,ASTR,Astrophysical Dynamics,3.835,87.5,10.0,2.5,0.0,0.0,0.0,40,40,0,35,4,1,0,0
ASTR 271,ASTR,Electromagnetic Radiation in Astrophysics,3.781,87.5,12.5,0.0,0.0,0.0,0.0,32,34,0,28,4,0,0,0
ASTR 274,ASTR,Extragalactic Astrophysics I,3.759,84.38,15.62,0.0,0.0,0.0,0.0,32,33,0,27,5,0,0,0
ASTR 284,ASTR,Order of Magnitude Astrophysics,4.0,100.0,0.0,0.0,0.0,0.0,0.0,44,44,0,44,0,0,0,0
ASTR 3,ASTR,Nature of Universe,3.246,50.0,33.03,12.92,1.82,2.23,4.5,2422,2667,120,1211,800,313,44,54
ASTR 4,ASTR,Black Holes and Cosmic Catastrophes,3.181,47.74,32.51,13.58,4.53,1.65,6.64,243,301,20,116,79,33,11,4
ASTR 5,ASTR,Life in Universe,3.363,60.26,25.31,9.99,2.42,2.01,4.82,1691,1869,90,1019,428,169,41,34
ASTR 6,ASTR,"Cosmology: Origin, History, and Fate of Universe",3.022,39.15,33.86,22.75,2.65,1.59,4.48,189,223,10,74,64,43,5,3
ASTR 81,ASTR,Astrophysics I: Stars and Nebulae,3.036,32.89,44.74,17.76,4.61,0.0,4.43,152,158,7,50,68,27,7,0
ASTR 82,ASTR,"Astrophysics II: Stellar Evolution, Galaxies, and Cosmology  ",3.264,40.91,47.73,6.82,4.55,0.0,4.55,44,44,2,18,21,3,2,0
BIOENGR 10,BIOENGR,Introduction to Bioengineering,3.938,97.02,1.99,0.25,0.0,0.74,0.74,403,406,3,391,8,1,0,3
BIOENGR 100,BIOENGR,Bioengineering Fundamentals,2.688,32.77,30.25,19.05,10.64,7.28,17.49,357,366,64,117,108,68,38,26
BIOENGR 110,BIOENGR,Biotransport and Bioreaction Processes,2.534,37.0,19.27,19.57,12.23,11.93,23.58,327,335,79,121,63,64,40,39
BIOENGR 120,BIOENGR,Biomedical Transducers,3.024,32.89,44.85,15.61,3.99,2.66,6.51,301,307,20,99,135,47,12,8
BIOENGR 121,BIOENGR,Introduction to Microcontrollers,3.908,94.23,3.85,0.96,0.96,0.0,0.96,104,104,1,98,4,1,1,0
BIOENGR 122,BIOENGR,Introduction to Medical Imaging,3.73,79.44,18.69,0.93,0.93,0.0,0.93,107,107,1,85,20,1,1,0
BIOENGR 125,BIOENGR,Orthopaedic Biomechanical Engineering,3.537,60.0,37.14,2.86,0.0,0.0,0.0,35,35,0,21,13,1,0,0
BIOENGR 132,BIOENGR,Nanogenerators for Bioengineering,3.957,96.67,3.33,0.0,0.0,0.0,0.0,30,30,0,29,1,0,0,0
BIOENGR 167L,BIOENGR,Bioengineering Laboratory,3.857,90.16,8.89,0.32,0.32,0.32,0.63,315,315,2,284,28,1,1,1
BIOENGR 175,BIOENGR,Machine Learning and Data-Driven Modeling in Bioengineering,3.541,61.36,35.25,2.37,0.0,1.02,1.94,295,310,6,181,104,7,0,3
BIOENGR 176,BIOENGR,Principles of Biocompatibility,3.147,32.33,53.67,10.33,3.33,0.33,3.61,300,305,11,97,161,31,10,1
BIOENGR 177A,BIOENGR,Bioengineering Capstone Design I,3.974,98.28,1.72,0.0,0.0,0.0,0.0,290,290,0,285,5,0,0,0
BIOENGR 177B,BIOENGR,Bioengineering Capstone Design II,3.971,98.28,1.72,0.0,0.0,0.0,0.0,290,290,0,285,5,0,0,0
BIOENGR 180,BIOENGR,"System Integration in Biology, Engineering, and Medicine I",3.372,50.0,39.8,8.88,1.32,0.0,1.31,304,306,4,152,121,27,4,0
BIOENGR 180L,BIOENGR,"System Integration in Biology, Engineering, and Medicine I Laboratory",4.0,100.0,0.0,0.0,0.0,0.0,0.0,90,90,0,90,0,0,0,0
BIOENGR 188,BIOENGR,Special Courses in Bioengineering,3.654,76.39,15.97,5.56,2.08,0.0,2.08,144,144,3,110,23,8,3,0
BIOENGR 223A,BIOENGR,Programming Laboratory for Medical and Imaging Informatics I,3.917,90.91,9.09,0.0,0.0,0.0,0.0,77,77,0,70,7,0,0,0
BIOENGR 223B,BIOENGR,Programming Laboratory for Medical and Imaging Informatics II,3.944,91.94,8.06,0.0,0.0,0.0,0.0,62,62,0,57,5,0,0,0
